4_2_conf3.json: 1 islands, size: 30
4_3_conf3.json: 2 islands, size: 22
3_2_conf0.json: 0 islands, size: 0
35_25_conf1.json: 2 islands, size: 23
35_3_conf3.json: 1 islands, size: 5
35_3_conf2.json: 1 islands, size: 8
35_2_conf0.json: 1 islands, size: 21
35_15_conf2.json: 0 islands, size: 0
2_3_conf3.json: 1 islands, size: 2
35_15_conf3.json: 0 islands, size: 0
4_3_conf2.json: 1 islands, size: 30
2_25_conf0.json: 1 islands, size: 3
2_2_conf4.json: 2 islands, size: 12
2_15_conf4.json: 1 islands, size: 3
25_2_conf0.json: 3 islands, size: 10
4_3_conf1.json: 1 islands, size: 18
4_1_conf3.json: 2 islands, size: 20
2_25_conf4.json: 2 islands, size: 4
25_3_conf1.json: 1 islands, size: 12
4_1_conf4.json: 0 islands, size: 0
4_15_conf1.json: 0 islands, size: 0
4_25_conf0.json: 1 islands, size: 33
4_25_conf1.json: 1 islands, size: 15
3_15_conf4.json: 1 islands, size: 7
4_25_conf2.json: 2 islands, size: 28
3_3_conf2.json: 0 islands, size: 0
2_1_conf0.json: 0 islands, size: 0
35_15_conf0.json: 1 islands, size: 12
4_1_conf0.json: 0 islands, size: 0
3_1_conf4.json: 2 islands, size: 10
4_25_conf3.json: 2 islands, size: 21
35_25_conf0.json: 1 islands, size: 21
3_2_conf4.json: 1 islands, size: 22
25_2_conf2.json: 1 islands, size: 5
3_25_conf3.json: 2 islands, size: 16
4_15_conf4.json: 1 islands, size: 18
25_3_conf3.json: 2 islands, size: 5
35_15_conf4.json: 1 islands, size: 4
3_15_conf2.json: 1 islands, size: 14
25_25_conf0.json: 1 islands, size: 4
25_1_conf2.json: 2 islands, size: 6
3_15_conf1.json: 0 islands, size: 0
35_25_conf3.json: 3 islands, size: 12
3_25_conf0.json: 2 islands, size: 16
25_2_conf3.json: 2 islands, size: 10
25_3_conf0.json: 1 islands, size: 2
3_25_conf1.json: 1 islands, size: 22
25_1_conf4.json: 0 islands, size: 0
3_3_conf4.json: 2 islands, size: 18
4_2_conf1.json: 1 islands, size: 24
4_2_conf2.json: 1 islands, size: 29
25_3_conf2.json: 3 islands, size: 12
3_1_conf0.json: 0 islands, size: 0
2_15_conf2.json: 1 islands, size: 13
35_2_conf1.json: 1 islands, size: 24
25_15_conf4.json: 0 islands, size: 0
2_25_conf2.json: 1 islands, size: 4
35_2_conf2.json: 2 islands, size: 18
3_3_conf3.json: 3 islands, size: 20
3_2_conf2.json: 0 islands, size: 0
4_3_conf4.json: 1 islands, size: 33
2_15_conf1.json: 2 islands, size: 8
25_2_conf4.json: 1 islands, size: 3
35_1_conf4.json: 0 islands, size: 0
35_3_conf1.json: 1 islands, size: 32
35_25_conf4.json: 0 islands, size: 0
4_3_conf0.json: 2 islands, size: 28
35_3_conf4.json: 1 islands, size: 20
35_2_conf4.json: 2 islands, size: 19
4_1_conf1.json: 0 islands, size: 0
2_2_conf1.json: 0 islands, size: 0
25_15_conf2.json: 0 islands, size: 0
25_1_conf3.json: 1 islands, size: 3
3_2_conf1.json: 1 islands, size: 15
25_25_conf2.json: 2 islands, size: 8
25_15_conf0.json: 1 islands, size: 15
2_15_conf3.json: 1 islands, size: 4
25_2_conf1.json: 1 islands, size: 2
35_1_conf1.json: 0 islands, size: 0
35_15_conf1.json: 0 islands, size: 0
3_15_conf0.json: 1 islands, size: 3
2_25_conf3.json: 1 islands, size: 3
25_1_conf1.json: 1 islands, size: 4
4_25_conf4.json: 1 islands, size: 27
2_1_conf2.json: 2 islands, size: 6
2_3_conf4.json: 1 islands, size: 11
25_25_conf3.json: 1 islands, size: 3
2_15_conf0.json: 1 islands, size: 4
25_3_conf4.json: 1 islands, size: 24
4_1_conf2.json: 1 islands, size: 3
25_25_conf4.json: 0 islands, size: 0
25_25_conf1.json: 1 islands, size: 2
2_1_conf3.json: 0 islands, size: 0
2_1_conf1.json: 0 islands, size: 0
3_15_conf3.json: 0 islands, size: 0
3_25_conf4.json: 1 islands, size: 4
35_1_conf2.json: 1 islands, size: 15
2_25_conf1.json: 1 islands, size: 13
3_3_conf0.json: 0 islands, size: 0
3_1_conf1.json: 0 islands, size: 0
3_3_conf1.json: 1 islands, size: 20
3_2_conf3.json: 1 islands, size: 16
35_3_conf0.json: 1 islands, size: 31
4_2_conf0.json: 1 islands, size: 19
35_1_conf0.json: 2 islands, size: 20
25_15_conf3.json: 1 islands, size: 16
4_2_conf4.json: 1 islands, size: 25
3_25_conf2.json: 3 islands, size: 17
2_2_conf0.json: 0 islands, size: 0
35_1_conf3.json: 0 islands, size: 0
2_3_conf2.json: 2 islands, size: 8
4_15_conf3.json: 1 islands, size: 20
35_2_conf3.json: 1 islands, size: 17
2_2_conf2.json: 1 islands, size: 7
25_1_conf0.json: 1 islands, size: 2
3_1_conf2.json: 1 islands, size: 12
2_1_conf4.json: 1 islands, size: 4
25_15_conf1.json: 1 islands, size: 5
4_15_conf2.json: 1 islands, size: 22
4_15_conf0.json: 2 islands, size: 14
35_25_conf2.json: 2 islands, size: 8
3_1_conf3.json: 0 islands, size: 0
2_2_conf3.json: 0 islands, size: 0
2_3_conf0.json: 1 islands, size: 13
2_3_conf1.json: 1 islands, size: 2
