6_8_conf4.json: 1 islands, size: 37
4_6_conf4.json: 1 islands, size: 34
5_6_conf0.json: 1 islands, size: 36
4_7_conf1.json: 1 islands, size: 37
5_9_conf3.json: 1 islands, size: 37
8_9_conf2.json: 1 islands, size: 37
7_9_conf1.json: 1 islands, size: 37
4_9_conf4.json: 1 islands, size: 37
4_9_conf0.json: 1 islands, size: 37
4_7_conf0.json: 1 islands, size: 37
4_9_conf1.json: 1 islands, size: 37
4_6_conf3.json: 1 islands, size: 37
8_7_conf0.json: 1 islands, size: 37
6_9_conf4.json: 1 islands, size: 37
6_8_conf2.json: 1 islands, size: 37
7_9_conf4.json: 1 islands, size: 37
7_6_conf3.json: 1 islands, size: 37
4_7_conf4.json: 1 islands, size: 37
8_6_conf0.json: 1 islands, size: 37
7_6_conf2.json: 1 islands, size: 37
6_7_conf0.json: 1 islands, size: 37
6_8_conf1.json: 1 islands, size: 37
5_8_conf1.json: 1 islands, size: 37
5_6_conf4.json: 1 islands, size: 37
7_8_conf0.json: 1 islands, size: 37
5_8_conf3.json: 1 islands, size: 37
8_8_conf0.json: 0 islands, size: 0
7_6_conf0.json: 1 islands, size: 37
5_9_conf2.json: 1 islands, size: 37
8_8_conf2.json: 1 islands, size: 37
7_7_conf3.json: 1 islands, size: 37
6_8_conf0.json: 1 islands, size: 37
4_8_conf2.json: 1 islands, size: 37
6_8_conf3.json: 1 islands, size: 37
6_9_conf2.json: 1 islands, size: 37
4_8_conf1.json: 1 islands, size: 37
7_7_conf1.json: 1 islands, size: 37
7_9_conf0.json: 1 islands, size: 37
6_7_conf2.json: 1 islands, size: 37
7_7_conf0.json: 1 islands, size: 37
7_6_conf4.json: 1 islands, size: 37
6_6_conf4.json: 1 islands, size: 37
5_6_conf3.json: 1 islands, size: 37
8_6_conf3.json: 1 islands, size: 37
6_9_conf3.json: 1 islands, size: 37
4_8_conf0.json: 1 islands, size: 35
4_7_conf3.json: 1 islands, size: 37
4_8_conf4.json: 1 islands, size: 37
6_7_conf3.json: 1 islands, size: 37
5_7_conf2.json: 1 islands, size: 37
4_7_conf2.json: 1 islands, size: 37
5_6_conf2.json: 1 islands, size: 37
8_6_conf4.json: 1 islands, size: 37
6_9_conf0.json: 1 islands, size: 37
7_7_conf2.json: 1 islands, size: 37
6_6_conf1.json: 1 islands, size: 37
5_8_conf0.json: 1 islands, size: 37
7_6_conf1.json: 1 islands, size: 37
8_9_conf0.json: 0 islands, size: 0
5_7_conf1.json: 1 islands, size: 37
8_9_conf4.json: 0 islands, size: 0
8_7_conf4.json: 1 islands, size: 37
6_6_conf2.json: 1 islands, size: 37
7_7_conf4.json: 1 islands, size: 37
4_9_conf2.json: 1 islands, size: 37
8_6_conf2.json: 1 islands, size: 37
8_8_conf4.json: 1 islands, size: 37
5_9_conf4.json: 1 islands, size: 37
6_6_conf0.json: 1 islands, size: 37
7_8_conf3.json: 1 islands, size: 37
6_7_conf4.json: 1 islands, size: 37
6_9_conf1.json: 1 islands, size: 37
6_7_conf1.json: 1 islands, size: 37
7_9_conf3.json: 1 islands, size: 37
4_6_conf2.json: 1 islands, size: 37
8_8_conf3.json: 0 islands, size: 0
8_7_conf1.json: 1 islands, size: 37
5_9_conf0.json: 1 islands, size: 37
8_9_conf1.json: 1 islands, size: 37
5_7_conf3.json: 1 islands, size: 37
4_6_conf0.json: 1 islands, size: 37
7_9_conf2.json: 1 islands, size: 37
4_6_conf1.json: 1 islands, size: 37
5_7_conf4.json: 1 islands, size: 37
8_7_conf3.json: 0 islands, size: 0
6_6_conf3.json: 1 islands, size: 37
8_9_conf3.json: 1 islands, size: 37
8_7_conf2.json: 1 islands, size: 37
5_7_conf0.json: 1 islands, size: 37
8_6_conf1.json: 1 islands, size: 37
7_8_conf2.json: 1 islands, size: 37
5_8_conf2.json: 1 islands, size: 37
5_8_conf4.json: 1 islands, size: 37
7_8_conf4.json: 1 islands, size: 37
4_8_conf3.json: 1 islands, size: 37
8_8_conf1.json: 1 islands, size: 37
4_9_conf3.json: 1 islands, size: 37
7_8_conf1.json: 1 islands, size: 37
5_9_conf1.json: 1 islands, size: 37
5_6_conf1.json: 1 islands, size: 37
